id,people,seconds
620,29,0.1
621,25,0.1
622,28,0.6
624,7,0.2
625,0,0.0
632,20,0.3
633,5,0.2
642,20,0.4
643,26,0.3
644,13,0.8
645,11,0.3
651,2,0.6
658,213,3.0
663,38,0.8
667,1,0.3
669,82,0.5
670,94,0.6
671,0,0.0
672,14,0.2
673,0,0.1
674,98,1.0
676,0,0.0
682,90,2.3
683,33,0.3
686,1,0.3
687,7,0.5
688,41,0.7
692,62,0.4
694,39,0.4
695,34,0.4
696,58,0.5
697,1837,7.3
699,42,1.3
700,740,0.8
703,34,0.7
704,35,0.4
705,305,1.3
707,37,0.2
714,1,0.3
715,2,0.3
716,2,0.3
717,171,0.5
718,191,0.5
719,77,0.6
720,3049,7.2
721,597,5.0
722,1194,4.4
724,23,0.3
732,8,0.3
745,19,0.3
752,163,1.8
757,39,0.4
758,2,0.3
762,9,0.2
763,48477,23.2
764,1,0.1
771,16,0.6
772,26,0.4
773,26,0.4
775,10,0.4
778,96,2.6
779,39,0.3
780,155,0.4
781,30,0.4
782,237,0.8
783,10,0.5
784,479,1.4
785,102,0.3
787,403,1.2
789,16,0.4
794,10,0.2
801,176,1.3
808,0,0.2
810,19,0.5
811,162,1.8
815,7,0.9
816,17,0.1
817,18,0.1
818,234,0.6
819,20,0.1
820,14,0.1
825,10,0.3
828,1951,5.2
829,37,0.2
830,636,10.4
835,111,0.4
837,37,0.5
838,21,0.4
839,11,0.4
840,15,0.7
841,8,0.3
842,58,0.4
844,48,0.6
845,27,0.6
846,19,0.5
847,78,0.9
848,7,0.4
849,75,0.4
850,11,0.5
851,98,2.6
852,45,0.8
853,82,0.4
859,18,0.3
860,2,0.3
862,1,0.3
863,77,0.4
864,73,0.4
868,11,0.3
871,25,0.2
875,55,0.4
879,0,0.0
883,6,0.4
884,13,0.6
885,6,0.3
886,6,0.3
889,20,0.4
890,3,0.1
892,49,1.7
893,207,2.3
895,1,0.1
896,8,0.2
898,1,0.1
900,1,0.3
901,1,0.1
902,0,0.0
903,0,0.1
904,0,0.1
905,2,0.1
907,6,0.1
908,1,0.1
909,4,0.1
910,1,0.2
911,4,0.2
912,1,0.2
913,35,0.4
914,2,0.3
915,6,0.6
916,32,0.4
917,16,0.4
918,14,0.2
919,105,0.5
920,57,0.5
922,101,0.5
923,30,0.4
924,29,0.4
925,22,0.4
926,47,0.4
929,63,0.4
931,40,0.1
933,31,0.2
934,16,0.8
935,9,0.5
936,47,0.8
937,25,0.6
938,8,0.3
939,157,1.0
940,374,3.6
941,1,0.1
942,6,0.2
943,1,0.1
944,7,0.2
945,2,0.1
946,10,0.2
948,2,0.1
950,7,0.6
951,1,0.1
952,2,0.2
953,2,0.4
955,3,0.2
956,8,0.3
957,0,0.1
959,1,0.3
960,17,0.7
961,28,0.1
962,19,0.1
963,8,0.1
964,17,0.3
966,12,0.4
967,12,0.3
968,8,0.3
969,7,0.3
970,18,0.2
971,35,1.0
973,9,0.2
974,25,0.7
978,27,3.6
979,149,1.3
980,1732,1.8
984,26,0.2
988,120,1.1
989,23,0.2
990,29,0.4
991,55,0.2
992,197,1.0
993,63,0.4
994,21,1.1
996,10,0.3
999,339,1.3
1000,18,0.7
1001,25,0.3
1002,0,0.0
1003,63,0.2
1004,11,0.3
1005,35,1.1
1007,3,0.1
1009,13,0.8
1010,2,0.2
1012,47,0.2
1018,251,2.2
1020,937,1.0
1021,70,1.1
1024,9,0.2
1026,10,0.4
1033,28,0.2
1034,85,0.4
1035,207,1.0
1037,22,0.3
1038,169,1.7
1042,5,0.2
1043,6,0.2
1047,12,0.4
1049,32,0.4
1055,194,0.8
1056,17,0.1
1059,26,0.4
1061,0,0.1
1062,20,0.3
1064,2,0.2
1065,22,1.5
1066,8,0.4
1067,5,0.2
1069,0,0.1
1071,0,0.0
1074,4,0.4
1077,0,0.0
1078,208,2.2
1079,526,1.3
1080,71,0.3
1081,29,1.3
1082,36,0.4
1084,332,4.5
1085,7,0.3
1086,16275,7.7
1087,0,0.0
1088,0,0.0
1089,15,0.2
1090,428,3.0
1091,544,1.0
1092,10,1.1
1095,0,0.1
1098,35,1.0
1099,2,0.2
1102,10,0.2
1105,199,0.5
1106,58,0.4
1107,94,0.4
1108,96,0.2
1109,5,0.3
1110,89,0.4
1111,4,0.3
1112,0,0.0
1113,0,0.0
1114,1,0.3
1115,0,0.0
1116,2,0.1
1118,11,0.3
1119,48,0.3
1120,17,0.4
1121,17,0.4
1122,36,0.9
1124,42,0.3
1125,9,0.3
1126,7,0.4
1127,18,0.9
1128,3,0.2
1130,22,0.6
1131,5,0.3
1132,571,2.9
1135,13,0.3
1136,7,0.3
1137,108,1.1
1142,25,0.4
1143,38,1.3
1147,1258,2.0
1148,20,0.2
1150,37,0.4
1151,15,0.3
1152,115,0.9
1153,292,0.7
1154,282,0.7
1155,124,0.7
1156,108,0.7
1160,55,0.9
1164,0,0.0
1172,432,0.2
1173,68,0.4
1175,31,1.3
1179,35,0.3
1180,300,4.4
1184,25,0.5
1189,19,0.3
1190,73,3.8
1192,1,0.1
1193,23,0.4
1194,40,1.6
1195,107,0.4
1196,165,2.6
1205,88,0.8
1209,28,0.7
1211,14,0.2
1214,366,2.9
1215,11,0.2
1216,66,0.4
1217,6,0.2
1218,6,0.2
1219,4,0.2
1220,19,0.3
1221,3,0.2
1222,1,0.3
1228,3,0.2
1229,19,0.5
1232,122,2.5
1233,104,1.3
1234,181,1.2
1235,140,1.0
1236,30,1.1
1238,5,0.2
1240,291,1.3
1243,97,1.2
1247,44,4.3
1248,72,0.5
1249,16,0.4
1252,22,0.2
1253,22,0.2
1254,530,2.4
1257,43,0.4
1259,132,0.7
1260,148,0.4
1265,2,0.2
1266,5,0.2
1267,16,1.5
1268,7,0.3
1269,1,0.3
1270,2,0.2
1271,16,0.3
1272,18,0.2
1273,9,0.2
1274,773,2.1
1275,11,0.3
1276,34,0.7
1277,15,0.5
1278,0,0.4
1279,0,0.0
1280,5,0.8
1283,38,0.2
1284,38,0.2
1285,0,0.0
1286,0,0.0
1287,0,0.0
1288,0,0.0
1290,11,0.2
1291,5,0.4
1292,2,0.2
1293,4,0.2
1294,0,0.0
1295,15,0.3
1296,2396,1.1
1297,7,0.2
1298,1,0.1
1299,4,0.1
1300,1,0.1
1301,2,0.1
1303,17,0.2
1304,2,0.2
1305,3,0.4
1306,29,0.6
1307,40,0.5
1309,20,1.1
1312,0,0.0
1313,0,0.2
1315,0,0.0
1316,7,0.1
1317,16,1.0
1318,2,0.3
1319,5,0.2
1320,16,0.4
1321,17,0.4
1322,5,0.2
1323,4,0.2
1326,5,0.2
1330,393,2.3
1334,0,0.0
1336,20,0.2
1337,8,0.2
1339,3,0.1
1340,10,0.1
1341,2,0.2
1342,2,0.2
1343,16,1.3
1344,18,1.3
1345,4,0.4
1346,2,0.4
1347,12,0.2
1348,9,0.2
1349,7,0.6
1350,6,0.6
1351,4,0.5
1352,6,0.4
1353,7,0.5
1354,2,0.2
1355,16,0.2
1356,1,0.2
1357,13,0.2
1358,2,0.2
1359,7,0.2
1360,2,0.2
1361,9,0.2
1362,1,0.2
1363,12,0.2
1364,1,0.2
1365,7,0.2
1368,2,0.2
1369,19,0.2
1370,0,0.0
1371,0,0.0
1372,2,0.2
1373,9,0.2
1374,0,0.2
1375,0,0.3
1376,1,0.2
1377,9,0.2
1378,0,0.0
1379,0,0.0
1380,2,0.2
1381,13,0.2
1382,2,0.2
1383,12,0.2
1384,0,0.0
1385,0,0.0
1386,0,0.2
1387,0,0.2
1388,3,0.2
1389,7,0.2
1390,86,0.7
1391,53,0.5
1392,32,0.5
1393,71,0.6
1394,28,0.4
1395,22,0.3
1396,19,0.4
1397,18,0.2
1398,7,0.2
1399,6,0.2
1400,2,0.2
1401,6,0.3
1402,7,0.2
1403,10,0.4
1404,18,0.3
1405,42,0.3
1406,41,0.3
1407,216,0.5
1410,8,0.4
1411,56,0.4
1413,26,0.1
1417,14,0.5
1418,7,0.3
1421,39,0.3
1422,29,0.4
1425,18,0.2
1426,70,0.3
1427,67,0.3
1428,12,0.3
1429,78,0.4
1430,206,0.5
1433,4,0.1
1438,211,2.9
1439,15,0.4
1441,108,1.0
1442,24,0.3
1443,5,0.2
